               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097716,             0.17479,            0.055329,           0.0028763,            0.055793,           0.0016838,          0.00031089,             0.08936,             0.13821,             0.05358,            0.070263,           0.0033041,           0.0033041
                   1,            0.092504,             0.17774,            0.052455,            0.010257,            0.099786,           0.0065257,           0.0018798,            0.091275,             0.14108,            0.051076,            0.040197,           0.0065717,           0.0065717
                   2,             0.08863,             0.16906,            0.047916,            0.053185,            0.083291,            0.021828,           0.0060114,             0.08647,             0.14236,            0.044336,            0.010066,           0.0097733,           0.0097733
                   3,            0.084762,             0.16728,            0.042587,            0.073103,             0.16554,            0.047988,            0.012499,            0.083704,             0.13243,            0.038609,            0.009703,            0.009703,            0.009703
                   4,            0.080746,             0.16419,             0.03907,             0.43888,             0.15437,             0.11335,            0.034221,            0.078512,             0.11589,            0.035855,            0.009703,            0.009703,            0.009703
                   5,            0.077554,             0.16751,            0.037688,             0.40276,              0.2297,             0.11074,            0.038663,            0.071587,             0.11797,            0.032543,            0.009604,            0.009604,            0.009604
                   6,            0.074537,             0.16725,            0.036164,             0.46204,             0.26698,             0.17121,            0.064942,            0.067794,             0.12151,            0.030792,            0.009505,            0.009505,            0.009505
                   7,            0.072713,             0.16436,            0.033877,             0.53211,             0.26246,              0.2187,            0.087173,            0.065405,             0.11469,            0.030363,            0.009406,            0.009406,            0.009406
                   8,            0.070577,             0.16196,            0.031447,             0.46575,             0.31191,             0.25572,             0.10508,            0.062366,             0.11587,            0.027402,            0.009307,            0.009307,            0.009307
                   9,            0.068753,               0.159,            0.030061,             0.39704,             0.30767,              0.2557,              0.1012,            0.065264,             0.10956,            0.027424,            0.009208,            0.009208,            0.009208
                  10,             0.06782,             0.16194,             0.02846,             0.44667,              0.2677,             0.22767,            0.078463,            0.069481,             0.11149,             0.03072,            0.009109,            0.009109,            0.009109
                  11,            0.066031,             0.15716,            0.027575,             0.42379,             0.33198,             0.26034,            0.092014,            0.067809,             0.10728,            0.025201,             0.00901,             0.00901,             0.00901
                  12,            0.065995,             0.16397,            0.027184,             0.48144,             0.34146,             0.32894,             0.14913,            0.060914,             0.11192,            0.024522,            0.008911,            0.008911,            0.008911
                  13,            0.064243,             0.15502,            0.026048,             0.51919,             0.35659,              0.3453,             0.15904,            0.062819,             0.10883,             0.02495,            0.008812,            0.008812,            0.008812
                  14,            0.063615,             0.15763,            0.025369,             0.53964,             0.36075,             0.35407,             0.16854,            0.059019,             0.10862,            0.026617,            0.008713,            0.008713,            0.008713
                  15,            0.063114,             0.15814,            0.024206,             0.54163,              0.3742,             0.35871,             0.16883,            0.061777,             0.10517,            0.024138,            0.008614,            0.008614,            0.008614
                  16,            0.062936,             0.15299,            0.024232,             0.56781,             0.36008,             0.36183,             0.19391,            0.060146,             0.10897,             0.02403,            0.008515,            0.008515,            0.008515
                  17,            0.062278,             0.15763,            0.023429,              0.4118,             0.37121,             0.37028,             0.17773,            0.061034,             0.10607,            0.023509,            0.008416,            0.008416,            0.008416
                  18,            0.061276,             0.15701,            0.022092,             0.41143,             0.40656,             0.38504,             0.19152,            0.058419,             0.10742,             0.02366,            0.008317,            0.008317,            0.008317
                  19,            0.060301,              0.1547,            0.021819,             0.40782,             0.43617,             0.38053,             0.18612,            0.057003,             0.11297,            0.023885,            0.008218,            0.008218,            0.008218
                  20,            0.060918,             0.15224,            0.021582,             0.43143,              0.3523,             0.37695,             0.19637,            0.059407,             0.11005,            0.023353,            0.008119,            0.008119,            0.008119
