                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7729,                 3.0332,                 1.5982,                0.31933,                0.40273,                0.32384,                0.19159,                 1.7821,                 2.3187,                 1.5254,             0.00030034,             0.00030034,             0.00030034
                      2,                 1.6516,                 1.9721,                 1.5158,                0.44318,                0.42849,                0.37682,                0.21628,                 1.8049,                 2.0867,                 1.4958,             0.00059737,             0.00059737,             0.00059737
                      3,                 1.5591,                 1.7092,                 1.4552,                0.50941,                0.41585,                0.41017,                  0.264,                 1.6019,                  1.989,                 1.4337,              0.0008884,              0.0008884,              0.0008884
                      4,                 1.5069,                 1.5718,                 1.4062,                0.51121,                0.46614,                0.45559,                0.28871,                 1.5436,                 1.7041,                 1.3575,               0.000882,               0.000882,               0.000882
                      5,                 1.4642,                 1.4322,                 1.3744,                0.52663,                0.46912,                0.46524,                 0.3033,                 1.5186,                 1.7107,                 1.3128,               0.000882,               0.000882,               0.000882
                      6,                 1.4213,                 1.3029,                 1.3386,                0.56908,                0.44768,                0.46023,                0.27781,                 1.7219,                 1.8048,                 1.4343,               0.000873,               0.000873,               0.000873
                      7,                 1.3748,                 1.2332,                 1.3056,                0.62608,                0.46068,                0.48727,                0.29325,                 1.6751,                  1.637,                 1.3942,               0.000864,               0.000864,               0.000864
                      8,                 1.3302,                 1.1331,                 1.2711,                0.54411,                0.49447,                0.48005,                0.30467,                 1.5817,                 1.6256,                 1.3447,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.2875,                 1.0742,                 1.2403,                0.56184,                0.48198,                0.48362,                0.31313,                  1.534,                 1.5769,                 1.3196,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.2456,                0.97892,                 1.2189,                0.55619,                0.47024,                0.47569,                0.29603,                 1.6452,                 1.6109,                 1.4126,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.2166,                0.93717,                 1.1921,                0.59827,                0.48506,                0.48949,                0.28311,                 1.7888,                 1.6413,                 1.5154,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.1652,                0.86099,                 1.1772,                0.57732,                0.48955,                0.49671,                0.32613,                 1.5486,                 1.5398,                 1.3465,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.1453,                0.83667,                 1.1475,                 0.5964,                0.45554,                0.47553,                0.27744,                 1.7834,                 1.8746,                 1.5238,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.1084,                0.79105,                 1.1397,                0.57213,                0.49814,                0.49921,                0.32458,                 1.5475,                 1.5641,                 1.3716,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.0619,                0.74832,                 1.1034,                0.57929,                0.46182,                 0.4746,                0.30611,                  1.591,                 1.6651,                 1.3825,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.0312,                0.72496,                 1.0837,                0.56459,                0.48086,                0.48317,                0.29448,                 1.7414,                 1.8477,                 1.4636,             0.00078301,             0.00078301,             0.00078301
                     17,                  0.982,                0.69765,                 1.0627,                0.58268,                 0.4618,                0.48108,                 0.3154,                 1.5624,                 1.8225,                 1.3885,             0.00077401,             0.00077401,             0.00077401
                     18,                 0.9506,                0.66286,                 1.0435,                0.55892,                0.45933,                 0.4607,                0.27296,                   1.78,                  1.781,                  1.533,             0.00076501,             0.00076501,             0.00076501
                     19,                0.93303,                0.62858,                  1.036,                0.60306,                0.45422,                0.47965,                0.29451,                   1.66,                 1.7024,                 1.4496,             0.00075602,             0.00075602,             0.00075602
                     20,                 0.8936,                0.61949,                 1.0158,                0.60148,                0.50388,                 0.5047,                 0.3107,                 1.6924,                 1.6519,                 1.4656,             0.00074702,             0.00074702,             0.00074702
                     21,                0.88662,                0.60224,                 1.0097,                0.58264,                0.48435,                0.48495,                0.30722,                    1.6,                 1.6544,                 1.4098,             0.00073802,             0.00073802,             0.00073802
                     22,                  0.855,                0.58055,                0.99383,                0.56669,                0.49293,                 0.4841,                  0.301,                 1.6904,                 1.6747,                 1.4679,             0.00072902,             0.00072902,             0.00072902
                     23,                0.83277,                0.55071,                0.98415,                0.60287,                0.46499,                0.47702,                0.29523,                 1.7009,                 1.7593,                 1.5009,             0.00072002,             0.00072002,             0.00072002
                     24,                0.79744,                0.54091,                 0.9731,                0.61902,                0.44005,                0.46914,                 0.2984,                 1.6891,                 1.9493,                  1.479,             0.00071102,             0.00071102,             0.00071102
                     25,                0.78731,                0.53404,                0.96393,                0.55579,                0.48087,                0.46767,                0.29192,                 1.6878,                 1.8012,                 1.4888,             0.00070202,             0.00070202,             0.00070202
                     26,                0.76244,                0.51488,                0.95335,                0.58401,                 0.4887,                0.47834,                0.30465,                 1.6892,                 1.7409,                 1.4843,             0.00069302,             0.00069302,             0.00069302
                     27,                0.73439,                0.49065,                0.94085,                0.57011,                0.46096,                0.46974,                0.29643,                 1.7018,                 1.9089,                 1.4912,             0.00068402,             0.00068402,             0.00068402
                     28,                 0.7122,                0.47761,                 0.9329,                0.55542,                0.50671,                0.47963,                0.30842,                 1.5979,                 1.6336,                  1.447,             0.00067502,             0.00067502,             0.00067502
                     29,                0.70297,                0.46346,                0.92611,                0.55562,                0.47302,                0.46394,                0.29108,                 1.7227,                 1.8009,                 1.5175,             0.00066602,             0.00066602,             0.00066602
